,7a,1b,2b,4b,3b
2005-01-04,0.89783,1.0887,1.0836,1.0912,1.0949
2005-01-05,0.8975,1.0912,1.0881,1.0913,1.0946
2005-01-06,0.89662,1.0913,1.0859,1.0884,1.0937
2005-01-07,0.90131,1.0884,1.0832,1.0884,1.0911
2005-01-08,0.90131,1.0884,1.0832,1.0884,1.0911
2005-01-09,0.90131,1.0884,1.0832,1.0884,1.0911
2005-01-10,0.89863,1.0883,1.0877,1.0921,1.095
2005-01-11,0.90375,1.092,1.0889,1.0897,1.0941
2005-01-12,0.89969,1.0897,1.0828,1.086,1.0905
2005-01-13,0.90074,1.086,1.0828,1.0839,1.0899
2005-01-14,0.90009,1.0839,1.0833,1.0864,1.0874
2005-01-15,0.90009,1.0839,1.0833,1.0864,1.0874
2005-01-16,0.90009,1.0839,1.0833,1.0864,1.0874
2005-01-17,0.89936,1.0864,1.0833,1.0872,1.0891
2005-01-18,0.89904,1.0872,1.0806,1.0829,1.088
2005-01-19,0.90351,1.0829,1.08,1.0826,1.0857
2005-01-20,0.90719,1.0826,1.0737,1.0747,1.0838
2005-01-21,0.9155,1.0747,1.0711,1.0769,1.0792
2005-01-22,0.9155,1.0747,1.0711,1.0769,1.0792
2005-01-23,0.9155,1.0747,1.0711,1.0769,1.0792
2005-01-24,0.91567,1.0769,1.0751,1.0791,1.08
2005-01-25,0.91592,1.079,1.0749,1.0758,1.081
2005-01-26,0.92013,1.0758,1.0748,1.0829,1.0834
2005-01-27,0.92293,1.0829,1.082,1.0844,1.0866
2005-01-28,0.92362,1.0844,1.0825,1.0881,1.089
2005-01-29,0.92362,1.0844,1.0825,1.0881,1.089
2005-01-30,0.92362,1.0844,1.0825,1.0881,1.089
2005-01-31,0.92336,1.0881,1.0853,1.089,1.0915
2005-02-01,0.9243,1.089,1.0833,1.0857,1.0891
2005-02-02,0.92894,1.0857,1.0845,1.0868,1.0894
2005-02-03,0.92885,1.0868,1.0832,1.0832,1.0876
2005-02-04,0.93879,1.0832,1.0794,1.0911,1.0915
2005-02-05,0.93879,1.0832,1.0794,1.0911,1.0915
2005-02-06,0.93879,1.0832,1.0794,1.0911,1.0915
2005-02-07,0.94393,1.0911,1.0901,1.0937,1.0962
2005-02-08,0.93994,1.0938,1.0917,1.0945,1.0967
2005-02-09,0.94572,1.0945,1.0926,1.1006,1.1013
2005-02-10,0.94967,1.1006,1.0956,1.097,1.1041
2005-02-11,0.95274,1.097,1.0967,1.0986,1.1034
2005-02-12,0.95274,1.097,1.0967,1.0986,1.1034
2005-02-13,0.95274,1.097,1.0967,1.0986,1.1034
2005-02-14,0.94607,1.0986,1.097,1.0981,1.1025
2005-02-15,0.94197,1.0982,1.0959,1.0974,1.1003
2005-02-16,0.93642,1.0974,1.093,1.0976,1.0991
2005-02-17,0.93589,1.0976,1.0899,1.092,1.0992
2005-02-18,0.93589,1.092,1.086,1.0874,1.0941
2005-02-19,0.93589,1.092,1.086,1.0874,1.0941
2005-02-20,0.93589,1.092,1.086,1.0874,1.0941
2005-02-21,0.93475,1.0874,1.0837,1.0845,1.0882
2005-02-22,0.92902,1.0845,1.0843,1.0888,1.0908
2005-02-23,0.92328,1.0888,1.0842,1.0883,1.0913
2005-02-24,0.92106,1.0883,1.0859,1.0863,1.0906
2005-02-25,0.9187,1.0863,1.0843,1.0876,1.0896
2005-02-26,0.9187,1.0863,1.0843,1.0876,1.0896
2005-02-27,0.9187,1.0863,1.0843,1.0876,1.0896
2005-02-28,0.92251,1.0876,1.0847,1.0847,1.0911
2005-03-01,0.91954,1.0847,1.0738,1.0769,1.0865
2005-03-02,0.92149,1.0769,1.0744,1.0762,1.079
2005-03-03,0.92575,1.0762,1.0736,1.076,1.0781
2005-03-04,0.92894,1.076,1.0746,1.0764,1.0794
2005-03-05,0.92894,1.076,1.0746,1.0764,1.0794
2005-03-06,0.92894,1.076,1.0746,1.0764,1.0794
2005-03-07,0.93301,1.0765,1.0741,1.076,1.0779
2005-03-08,0.93275,1.076,1.0752,1.08,1.083
2005-03-09,0.92747,1.0801,1.0703,1.0711,1.0816
2005-03-10,0.92073,1.0711,1.0677,1.07,1.074
2005-03-11,0.91642,1.07,1.0681,1.0714,1.0739
2005-03-12,0.91642,1.07,1.0681,1.0714,1.0739
2005-03-13,0.91642,1.07,1.0681,1.0714,1.0739
2005-03-14,0.91592,1.0714,1.0657,1.0679,1.0715
2005-03-15,0.92217,1.0679,1.0652,1.0672,1.0687
2005-03-16,0.92056,1.0672,1.0642,1.0651,1.0679
2005-03-17,0.91853,1.0651,1.0642,1.0651,1.0678
2005-03-18,0.9267,1.0651,1.065,1.068,1.0702
2005-03-19,0.9267,1.0651,1.065,1.068,1.0702
2005-03-20,0.9267,1.0651,1.065,1.068,1.0702
2005-03-21,0.92894,1.068,1.0639,1.066,1.0686
2005-03-22,0.93572,1.066,1.0655,1.0687,1.0731
2005-03-23,0.92997,1.0687,1.0673,1.0765,1.0781
2005-03-24,0.92868,1.0765,1.0756,1.0823,1.0833
2005-03-25,0.92894,1.0823,1.0794,1.0861,1.0866
2005-03-26,0.92894,1.0823,1.0794,1.0861,1.0866
2005-03-27,0.92894,1.0823,1.0794,1.0861,1.0866
2005-03-28,0.93006,1.0861,1.0835,1.0873,1.0899
2005-03-29,0.93075,1.0874,1.0834,1.0844,1.0898
2005-03-30,0.9279,1.0844,1.0838,1.0885,1.0892
2005-03-31,0.92721,1.0885,1.0825,1.0852,1.089
2005-04-01,0.93032,1.0852,1.0824,1.0854,1.0886
2005-04-02,0.93032,1.0852,1.0824,1.0854,1.0886
2005-04-03,0.93032,1.0852,1.0824,1.0854,1.0886
2005-04-04,0.93006,1.0854,1.0829,1.0842,1.088
2005-04-05,0.93058,1.0841,1.076,1.0773,1.0868
2005-04-06,0.92558,1.0772,1.0711,1.0757,1.0788
2005-04-07,0.92851,1.0757,1.0723,1.0755,1.077
2005-04-08,0.9292,1.0755,1.0738,1.0751,1.0786
2005-04-09,0.9292,1.0755,1.0738,1.0751,1.0786
2005-04-10,0.9292,1.0755,1.0738,1.0751,1.0786
2005-04-11,0.92799,1.0751,1.0718,1.0721,1.0762
2005-04-12,0.93197,1.0721,1.0716,1.0733,1.0763
2005-04-13,0.93694,1.0733,1.0685,1.0688,1.0755
