,Open Bid_x,Open Bid_y,Open Ask_y,Long Swap AUDNZD,Open Bid_x,Open Bid_y,Open Ask_y
2005-01-04,4.95,6.3,6.61,-7.749766573295989e-06,4.95,0.57,0.63
2005-01-05,4.94,6.5,6.65,-7.996632996632996e-06,4.94,0.6,0.7
2005-01-06,5.12,6.33,6.63,-6.85366739288308e-06,5.12,0.61,0.76
2005-01-07,5.2,6.3,6.6,-6.272401433691751e-06,5.2,0.79,0.93
2005-01-08,5.18,6.52,6.62,-6.472491909385117e-06,5.18,0.64,0.74
2005-01-09,5.15,6.49,6.64,-6.729900632339655e-06,5.15,0.61,0.76
2005-01-10,4.97,6.32,6.62,-7.677275265214962e-06,4.97,0.65,0.71
2005-01-11,4.97,6.3,6.6,-7.584217383212356e-06,4.97,0.63,0.77
2005-01-12,4.98,6.28,6.58,-7.432181345224818e-06,4.98,0.67,0.81
2005-01-13,4.97,6.28,6.59,-7.537688442211057e-06,4.97,0.63,0.77
2005-01-14,4.96,6.5,6.7,-8.109619686800893e-06,4.96,0.62,0.77
2005-01-15,5.19,6.52,6.67,-6.641536528450904e-06,5.19,0.63,0.77
2005-01-16,5.19,6.52,6.67,-6.641536528450904e-06,5.19,0.62,0.76
2005-01-17,4.99,6.33,6.63,-7.605268039324801e-06,4.99,0.62,0.76
2005-01-18,5.16,6.55,6.75,-7.169913419913422e-06,5.16,0.63,0.77
2005-01-19,5.01,6.53,6.78,-8.180809761508602e-06,5.01,0.53,0.66
2005-01-20,5.0,6.33,6.63,-7.546296296296298e-06,5.0,0.57,0.71
2005-01-21,5.19,6.57,6.7,-6.776162268892476e-06,5.19,0.58,0.73
2005-01-22,5.13,6.48,6.66,-6.933115823817294e-06,5.13,0.62,0.76
2005-01-23,5.15,6.48,6.66,-6.820234869015353e-06,5.15,0.59,0.73
2005-01-24,5.0,6.32,6.62,-7.5e-06,5.0,0.55,0.68
2005-01-25,4.95,6.5,6.7,-8.169934640522877e-06,4.95,0.63,0.78
2005-01-26,4.95,6.25,6.55,-7.469654528478056e-06,4.95,0.55,0.69
2005-01-27,4.96,6.45,6.65,-7.876584638329607e-06,4.96,0.6,0.66
2005-01-28,5.15,6.2,6.5,-6.097560975609755e-06,5.15,0.64,0.74
2005-01-29,5.19,6.55,6.65,-6.551786034823191e-06,5.19,0.6,0.7
2005-01-30,5.19,6.55,6.65,-6.551786034823191e-06,5.19,0.6,0.7
2005-01-31,4.95,6.21,6.5,-7.236227824463118e-06,4.95,0.54,0.69
2005-02-01,4.96,6.3,6.6,-7.643549589858313e-06,4.96,0.6,0.74
2005-02-02,5.04,6.31,6.61,-7.220382634289918e-06,5.04,0.63,0.72
2005-02-03,5.18,6.3,6.6,-6.382596188421433e-06,5.18,0.6,0.75
2005-02-04,5.16,6.45,6.65,-6.718975468975468e-06,5.16,0.57,0.72
2005-02-05,5.2,6.45,6.65,-6.49641577060932e-06,5.2,0.58,0.72
2005-02-06,5.17,6.47,6.62,-6.5280028813254095e-06,5.17,0.59,0.74
2005-02-07,5.16,6.3,6.63,-6.628787878787876e-06,5.16,0.63,0.73
2005-02-08,5.16,6.27,6.57,-6.358225108225109e-06,5.16,0.62,0.77
2005-02-09,5.16,6.5,6.7,-6.944444444444445e-06,5.16,0.61,0.76
2005-02-10,5.18,6.5,6.7,-6.832074793239847e-06,5.18,0.62,0.76
2005-02-11,5.18,6.49,6.69,-6.787126932758002e-06,5.18,0.59,0.73
2005-02-12,5.23,6.51,6.71,-6.598894239343677e-06,5.23,0.63,0.73
2005-02-13,5.18,6.51,6.71,-6.877022653721686e-06,5.18,0.62,0.76
2005-02-14,5.15,6.47,6.67,-6.865401987353204e-06,5.15,0.61,0.75
2005-02-15,5.18,6.33,6.63,-6.517439769866955e-06,5.18,0.6,0.74
2005-02-16,5.1,6.27,6.57,-6.693989071038254e-06,5.1,0.54,0.69
2005-02-17,5.2,6.28,6.58,-6.182795698924733e-06,5.2,0.51,0.63
2005-02-18,5.11,6.46,6.61,-6.819421713038731e-06,5.11,0.58,0.68
2005-02-19,5.11,6.45,6.64,-6.955810147299507e-06,5.11,0.57,0.71
2005-02-20,5.11,6.45,6.64,-6.955810147299507e-06,5.11,0.61,0.75
2005-02-21,5.17,6.23,6.43,-5.672609400324145e-06,5.17,0.59,0.73
2005-02-22,5.05,6.29,6.59,-7.070707070707073e-06,5.05,0.59,0.74
2005-02-23,5.23,6.27,6.57,-5.974674514000356e-06,5.23,0.62,0.74
2005-02-24,5.3,6.27,6.58,-5.643738977072309e-06,5.3,0.54,0.68
2005-02-25,5.3,6.46,6.76,-6.437389770723106e-06,5.3,0.57,0.71
2005-02-26,5.39,6.52,6.62,-5.346896191966618e-06,5.39,0.59,0.69
2005-02-27,5.29,6.49,6.64,-5.961844197138312e-06,5.29,0.56,0.71
2005-02-28,5.2,6.26,6.56,-6.093189964157703e-06,5.2,0.6,0.7
2005-03-01,5.14,6.47,6.67,-6.921824104234531e-06,5.14,0.56,0.71
2005-03-02,5.37,6.29,6.59,-5.320076748648175e-06,5.37,0.62,0.74
2005-03-03,5.37,6.26,6.56,-5.189255189255189e-06,5.37,0.62,0.74
2005-03-04,5.36,6.24,6.54,-5.153738644304678e-06,5.36,0.6,0.72
2005-03-05,5.44,6.45,6.6,-5.003450655624563e-06,5.44,0.6,0.72
2005-03-06,5.44,6.45,6.6,-5.003450655624563e-06,5.44,0.6,0.72
2005-03-07,5.25,6.24,6.53,-5.688888888888892e-06,5.25,0.6,0.72
2005-03-08,5.3,6.35,6.6,-5.731922398589063e-06,5.3,0.55,0.7
2005-03-09,5.26,6.25,6.55,-5.7241746538871125e-06,5.26,0.59,0.74
2005-03-10,5.42,6.5,6.8,-5.970924195223259e-06,5.42,0.62,0.72
2005-03-11,5.25,6.52,6.82,-6.977777777777781e-06,5.25,0.58,0.73
2005-03-12,5.35,6.7,6.85,-6.561679790026248e-06,5.35,0.6,0.74
2005-03-13,5.35,6.7,6.85,-6.561679790026248e-06,5.35,0.6,0.74
2005-03-14,5.45,6.56,6.86,-6.072351421188634e-06,5.45,0.56,0.71
2005-03-15,5.3,6.61,6.86,-6.878306878306879e-06,5.3,0.67,0.72
2005-03-16,5.3,6.51,6.81,-6.657848324514992e-06,5.3,0.61,0.71
2005-03-17,5.47,6.7,6.95,-6.354113000171733e-06,5.47,0.62,0.72
2005-03-18,5.31,6.7,6.95,-7.219580912132422e-06,5.31,0.61,0.75
2005-03-19,5.45,6.81,6.91,-6.287683031869076e-06,5.45,0.63,0.73
2005-03-20,5.44,6.78,6.93,-6.42684610075914e-06,5.44,0.63,0.73
2005-03-21,5.29,6.71,6.96,-7.375022080904434e-06,5.29,0.63,0.72
2005-03-22,5.26,6.8,6.95,-7.499112531061416e-06,5.26,0.59,0.72
2005-03-23,5.21,6.62,6.92,-7.648953301127211e-06,5.21,0.61,0.75
2005-03-24,5.23,6.67,6.93,-7.579810950597466e-06,5.23,0.6,0.75
2005-03-25,5.4,6.83,6.93,-6.640624999999998e-06,5.4,0.62,0.77
2005-03-26,5.4,6.8,6.95,-6.727430555555556e-06,5.4,0.69,0.83
2005-03-27,5.4,6.8,6.95,-6.727430555555556e-06,5.4,0.69,0.83
2005-03-28,5.25,6.83,6.93,-7.466666666666664e-06,5.25,0.66,0.8
2005-03-29,5.45,6.62,6.92,-6.330749354005165e-06,5.45,0.67,0.81
2005-03-30,5.28,6.63,6.93,-7.298301486199575e-06,5.28,0.68,0.82
2005-03-31,5.5,6.62,6.92,-6.068376068376069e-06,5.5,0.66,0.76
2005-04-01,5.5,6.58,6.88,-5.897435897435898e-06,5.5,0.61,0.74
2005-04-02,5.46,6.81,6.91,-6.2349501203990354e-06,5.46,0.66,0.76
2005-04-03,5.46,6.81,6.91,-6.2349501203990354e-06,5.46,0.66,0.76
2005-04-04,5.38,6.66,6.91,-6.661442006269595e-06,5.38,0.67,0.77
2005-04-05,5.47,6.63,6.88,-6.053580628541987e-06,5.47,0.61,0.76
2005-04-06,5.35,6.7,6.95,-6.999125109361329e-06,5.35,0.61,0.76
2005-04-07,5.23,6.52,6.82,-7.089352594970573e-06,5.23,0.65,0.71
2005-04-08,5.38,6.67,6.87,-6.487286659700454e-06,5.38,0.65,0.79
2005-04-09,5.43,6.63,6.73,-5.616035942630036e-06,5.43,0.67,0.77
2005-04-10,5.43,6.63,6.73,-5.616035942630036e-06,5.43,0.67,0.77
2005-04-11,5.25,6.44,6.74,-6.62222222222222e-06,5.25,0.62,0.75
2005-04-12,5.26,6.38,6.68,-6.30102946396876e-06,5.26,0.63,0.77
2005-04-13,5.25,6.43,6.68,-6.355555555555552e-06,5.25,0.67,0.81
2005-04-14,5.28,6.42,6.72,-6.369426751592355e-06,5.28,0.63,0.69
2005-04-15,5.29,6.5,6.8,-6.668433139021374e-06,5.29,0.64,0.74
2005-04-16,5.46,6.7,6.8,-5.761953904368763e-06,5.46,0.68,0.74
2005-04-17,5.46,6.7,6.8,-5.761953904368763e-06,5.46,0.68,0.74
2005-04-18,5.27,6.56,6.86,-7.044125465178099e-06,5.27,0.64,0.75
2005-04-19,5.27,6.64,6.94,-7.398546872231089e-06,5.27,0.58,0.73
2005-04-20,5.27,6.65,6.95,-7.442849548112708e-06,5.27,0.62,0.74
2005-04-21,5.33,6.75,6.95,-7.109004739336493e-06,5.33,0.63,0.78
2005-04-22,5.27,6.47,6.77,-6.645401382243486e-06,5.27,0.64,0.79
2005-04-23,5.48,6.65,6.84,-5.829903978052121e-06,5.48,0.63,0.77
2005-04-24,5.48,6.65,6.84,-5.829903978052121e-06,5.48,0.62,0.76
2005-04-25,5.31,6.45,6.75,-6.339144215530908e-06,5.31,0.63,0.77
2005-04-26,5.48,6.5,6.8,-5.658436213991764e-06,5.48,0.6,0.74
2005-04-27,5.32,6.52,6.82,-6.592827004219408e-06,5.32,0.6,0.74
2005-04-28,5.29,6.49,6.79,-6.624271330153685e-06,5.29,0.66,0.72
2005-04-29,5.27,6.6,6.83,-6.911217437533232e-06,5.27,0.58,0.72
2005-04-30,5.28,6.69,6.79,-6.679051663128093e-06,5.28,0.65,0.75
2005-05-01,5.28,6.69,6.79,-6.679051663128093e-06,5.28,0.65,0.75
2005-05-02,5.46,6.67,6.82,-5.847953216374269e-06,5.46,0.64,0.72
2005-05-03,5.27,6.44,6.74,-6.512493354598624e-06,5.27,0.63,0.74
2005-05-04,5.45,6.51,6.81,-5.85701981050818e-06,5.45,0.6,0.74
2005-05-05,5.43,6.51,6.81,-5.9616381544841885e-06,5.43,0.62,0.76
2005-05-06,5.29,6.49,6.79,-6.624271330153685e-06,5.29,0.62,0.76
2005-05-07,5.45,6.7,6.8,-5.813953488372091e-06,5.45,0.66,0.75
2005-05-08,5.45,6.7,6.8,-5.813953488372091e-06,5.45,0.66,0.75
2005-05-09,5.31,6.47,6.77,-6.427187885191057e-06,5.31,0.63,0.78
2005-05-10,5.31,6.49,6.79,-6.515231554851206e-06,5.31,0.66,0.8
2005-05-11,5.27,6.47,6.77,-6.645401382243486e-06,5.27,0.6,0.74
2005-05-12,5.29,6.49,6.79,-6.624271330153685e-06,5.29,0.59,0.73
2005-05-13,5.27,6.54,6.84,-6.955520113414851e-06,5.27,0.59,0.73
2005-05-14,5.43,6.72,6.8,-5.918437878002422e-06,5.43,0.63,0.77
2005-05-15,5.43,6.72,6.8,-5.918437878002422e-06,5.43,0.63,0.77
2005-05-16,5.31,6.6,6.84,-6.735340729001585e-06,5.31,0.59,0.74
2005-05-17,5.3,6.55,6.85,-6.834215167548501e-06,5.3,0.59,0.74
2005-05-18,5.27,6.52,6.82,-6.866914761651608e-06,5.27,0.62,0.76
2005-05-19,5.26,6.57,6.82,-6.922257720979769e-06,5.26,0.58,0.72
2005-05-20,5.27,6.54,6.84,-6.955520113414851e-06,5.27,0.62,0.71
2005-05-21,5.4,6.7,6.89,-6.467013888888885e-06,5.4,0.62,0.76
2005-05-22,5.42,6.72,6.87,-6.273797161647628e-06,5.42,0.62,0.76
2005-05-23,5.44,6.71,6.86,-6.124913733609387e-06,5.44,0.62,0.72
2005-05-24,5.28,6.7,6.9,-7.165605095541403e-06,5.28,0.62,0.72
2005-05-25,5.29,6.52,6.82,-6.756756756756756e-06,5.29,0.59,0.74
2005-05-26,5.28,6.51,6.81,-6.767515923566873e-06,5.28,0.61,0.76
2005-05-27,5.29,6.52,6.82,-6.756756756756756e-06,5.29,0.64,0.7
2005-05-28,5.4,6.7,6.89,-6.467013888888885e-06,5.4,0.61,0.75
2005-05-29,5.43,6.7,6.89,-6.307240366338347e-06,5.43,0.6,0.75
2005-05-30,5.29,6.57,6.82,-6.756756756756756e-06,5.29,0.6,0.73
2005-05-31,5.46,6.57,6.82,-5.847953216374269e-06,5.46,0.6,0.74
2005-06-01,5.27,6.57,6.82,-6.866914761651608e-06,5.27,0.61,0.75
2005-06-02,5.4,6.54,6.84,-6.249999999999996e-06,5.4,0.64,0.78
2005-06-03,5.28,6.53,6.83,-6.855980184005658e-06,5.28,0.61,0.75
2005-06-04,5.45,6.88,6.98,-6.589147286821708e-06,5.45,0.61,0.75
2005-06-05,5.43,6.88,6.98,-6.69604285467427e-06,5.43,0.61,0.75
2005-06-06,5.26,6.56,6.86,-7.099751508697195e-06,5.26,0.61,0.75
2005-06-07,5.27,6.52,6.82,-6.866914761651608e-06,5.27,0.61,0.75
2005-06-08,5.27,6.78,6.93,-7.354244196349458e-06,5.27,0.6,0.74
2005-06-09,5.27,6.59,6.84,-6.955520113414851e-06,5.27,0.62,0.76
2005-06-10,5.43,6.8,7.0,-6.782443407637808e-06,5.43,0.62,0.77
2005-06-11,5.43,6.88,7.07,-7.084845343010201e-06,5.43,0.63,0.77
2005-06-12,5.43,6.88,7.07,-7.084845343010201e-06,5.43,0.63,0.77
2005-06-13,5.43,6.86,7.01,-6.825643684119581e-06,5.43,0.64,0.78
2005-06-14,5.4,6.7,7.0,-6.944444444444445e-06,5.4,0.61,0.75
2005-06-15,5.44,6.9,7.05,-6.944444444444445e-06,5.44,0.61,0.76
2005-06-16,5.3,6.7,7.0,-7.49559082892416e-06,5.3,0.67,0.74
2005-06-17,5.3,6.75,7.0,-7.49559082892416e-06,5.3,0.64,0.7
2005-06-18,5.45,6.87,6.97,-6.546080964685613e-06,5.45,0.63,0.73
2005-06-19,5.45,6.87,6.97,-6.546080964685613e-06,5.45,0.63,0.73
2005-06-20,5.42,6.85,7.05,-7.052613361024578e-06,5.42,0.59,0.74
2005-06-21,5.25,6.75,7.0,-7.77777777777778e-06,5.25,0.63,0.73
2005-06-22,5.25,6.88,7.03,-7.911111111111115e-06,5.25,0.63,0.72
2005-06-23,5.27,6.86,6.96,-7.487152223994332e-06,5.27,0.63,0.69
2005-06-24,5.27,6.75,7.0,-7.664362927520825e-06,5.27,0.63,0.72
2005-06-25,5.48,6.86,7.01,-6.558641975308637e-06,5.48,0.66,0.72
2005-06-26,5.48,6.86,7.01,-6.558641975308637e-06,5.48,0.63,0.76
2005-06-27,5.27,6.75,7.0,-7.664362927520825e-06,5.27,0.67,0.74
2005-06-28,5.27,6.75,7.0,-7.664362927520825e-06,5.27,0.61,0.72
2005-06-29,5.27,6.65,6.95,-7.442849548112708e-06,5.27,0.61,0.76
2005-06-30,5.28,6.6,6.9,-7.165605095541403e-06,5.28,0.6,0.74
2005-07-01,5.27,6.78,6.98,-7.575757575757581e-06,5.27,0.62,0.71
2005-07-02,5.44,6.86,6.96,-6.55624568668047e-06,5.44,0.64,0.78
2005-07-03,5.44,6.86,6.96,-6.55624568668047e-06,5.44,0.64,0.71
2005-07-04,5.27,6.65,6.95,-7.442849548112708e-06,5.27,0.61,0.76
2005-07-05,5.27,6.6,6.9,-7.221336168704591e-06,5.27,0.61,0.76
2005-07-06,5.43,6.8,7.0,-6.782443407637808e-06,5.43,0.64,0.79
2005-07-07,5.25,6.75,7.0,-7.77777777777778e-06,5.25,0.63,0.78
2005-07-08,5.52,6.7,6.95,-6.09236537150648e-06,5.52,0.64,0.73
2005-07-09,5.42,6.81,6.96,-6.6632052613361e-06,5.42,0.64,0.78
2005-07-10,5.42,6.81,6.96,-6.6632052613361e-06,5.42,0.67,0.73
2005-07-11,5.25,6.65,6.95,-7.555555555555556e-06,5.25,0.65,0.74
2005-07-12,5.24,6.63,6.93,-7.523148148148146e-06,5.24,0.61,0.76
2005-07-13,5.41,6.59,6.89,-6.41358987692841e-06,5.41,0.64,0.73
2005-07-14,5.25,6.62,6.92,-7.422222222222219e-06,5.25,0.66,0.8
2005-07-15,5.27,6.61,6.91,-7.265638844586216e-06,5.27,0.66,0.8
2005-07-16,5.45,6.84,6.94,-6.416881998277347e-06,5.45,0.65,0.79
2005-07-17,5.45,6.84,6.94,-6.416881998277347e-06,5.45,0.66,0.73
2005-07-18,5.44,6.78,6.93,-6.42684610075914e-06,5.44,0.66,0.73
2005-07-19,5.47,6.8,6.95,-6.354113000171733e-06,5.47,0.6,0.75
2005-07-20,5.35,6.85,7.0,-7.217847769028872e-06,5.35,0.6,0.75
2005-07-21,5.45,6.55,6.85,-6.029285099052539e-06,5.45,0.59,0.73
2005-07-22,5.43,6.8,7.0,-6.782443407637808e-06,5.43,0.62,0.72
2005-07-23,5.35,6.83,6.98,-7.130358705161858e-06,5.35,0.6,0.74
2005-07-24,5.35,6.83,6.98,-7.130358705161858e-06,5.35,0.6,0.74
2005-07-25,5.23,6.65,6.95,-7.668985197075083e-06,5.23,0.65,0.73
2005-07-26,5.22,6.66,6.91,-7.547338335119687e-06,5.22,0.61,0.76
2005-07-27,5.22,6.61,6.91,-7.547338335119687e-06,5.22,0.66,0.73
2005-07-28,5.42,6.62,6.92,-6.4901349948078894e-06,5.42,0.59,0.74
2005-07-29,5.3,6.84,6.99,-7.451499118165789e-06,5.3,0.66,0.73
2005-07-30,5.44,6.87,7.02,-6.815044858523115e-06,5.44,0.66,0.73
2005-07-31,5.44,6.87,7.02,-6.815044858523115e-06,5.44,0.66,0.73
2005-08-01,5.27,6.87,7.02,-7.752968279284067e-06,5.27,0.63,0.73
2005-08-02,5.26,6.9,7.05,-7.942847000354993e-06,5.26,0.6,0.74
2005-08-03,5.23,6.82,6.97,-7.7581594435527e-06,5.23,0.66,0.8
2005-08-04,5.23,6.54,6.84,-7.178526841448188e-06,5.23,0.61,0.76
2005-08-05,5.24,6.55,6.85,-7.167022792022791e-06,5.24,0.6,0.74
2005-08-06,5.4,6.78,6.93,-6.640624999999998e-06,5.4,0.6,0.74
2005-08-07,5.43,6.78,6.93,-6.480041472265422e-06,5.43,0.66,0.84
2005-08-08,5.43,6.56,6.86,-6.177639536893036e-06,5.43,0.65,0.79
2005-08-09,5.44,6.85,7.0,-6.7287784679089e-06,5.44,0.63,0.77
2005-08-10,5.39,6.69,6.99,-6.9553121196313705e-06,5.39,0.62,0.76
2005-08-11,5.4,6.87,7.02,-7.031249999999996e-06,5.4,0.59,0.74
2005-08-12,5.3,6.83,6.98,-7.407407407407411e-06,5.3,0.57,0.72
2005-08-13,5.4,6.84,6.99,-6.901041666666663e-06,5.4,0.57,0.75
2005-08-14,5.4,6.84,6.99,-6.901041666666663e-06,5.4,0.57,0.75
2005-08-15,5.42,6.75,6.95,-6.619937694704048e-06,5.42,0.63,0.73
2005-08-16,5.4,6.83,6.98,-6.857638888888887e-06,5.4,0.66,0.73
2005-08-17,5.42,6.77,6.92,-6.4901349948078894e-06,5.42,0.59,0.77
2005-08-18,5.43,6.82,6.97,-6.6528425781924985e-06,5.43,0.66,0.73
2005-08-19,5.43,6.76,6.91,-6.393640919301884e-06,5.43,0.61,0.76
2005-08-20,5.44,6.79,6.89,-6.254313319530709e-06,5.44,0.67,0.85
2005-08-21,5.44,6.79,6.89,-6.254313319530709e-06,5.44,0.66,0.73
2005-08-22,5.25,6.6,6.9,-7.333333333333333e-06,5.25,0.66,0.73
2005-08-23,5.44,6.76,6.91,-6.340579710144925e-06,5.44,0.65,0.83
2005-08-24,5.24,6.52,6.82,-7.033475783475783e-06,5.24,0.63,0.77
2005-08-25,5.24,6.54,6.84,-7.122507122507121e-06,5.24,0.66,0.73
2005-08-26,5.41,6.7,6.9,-6.456924943664411e-06,5.41,0.66,0.73
2005-08-27,5.41,6.74,6.84,-6.196914543248395e-06,5.41,0.66,0.73
2005-08-28,5.41,6.74,6.84,-6.196914543248395e-06,5.41,0.69,0.87
2005-08-29,5.26,6.49,6.79,-6.789137380191694e-06,5.26,0.66,0.73
2005-08-30,5.4,6.54,6.79,-6.032986111111108e-06,5.4,0.66,0.73
2005-08-31,5.23,6.48,6.78,-6.911004102015339e-06,5.23,0.61,0.79
2005-09-01,5.21,6.53,6.78,-7.022723206298086e-06,5.21,0.58,0.73
2005-09-02,5.39,6.7,6.85,-6.346722309163623e-06,5.39,0.59,0.74
2005-09-03,5.41,6.74,6.84,-6.196914543248395e-06,5.41,0.68,0.74
2005-09-04,5.41,6.74,6.84,-6.196914543248395e-06,5.41,0.68,0.74
2005-09-05,5.37,6.68,6.83,-6.36664922379208e-06,5.37,0.58,0.73
2005-09-06,5.35,6.67,6.82,-6.430446194225726e-06,5.35,0.59,0.74
2005-09-07,5.34,6.69,6.84,-6.5720294426919054e-06,5.34,0.58,0.72
2005-09-08,5.15,6.52,6.82,-7.542908762420956e-06,5.15,0.63,0.72
2005-09-09,5.2,6.57,6.82,-7.258064516129031e-06,5.2,0.56,0.7
2005-09-10,5.41,6.71,6.86,-6.283584676720405e-06,5.41,0.59,0.77
2005-09-11,5.41,6.71,6.86,-6.283584676720405e-06,5.41,0.63,0.72
2005-09-12,5.23,6.69,6.84,-7.178526841448188e-06,5.23,0.62,0.72
2005-09-13,5.24,6.47,6.77,-6.81089743589743e-06,5.24,0.65,0.71
2005-09-14,5.28,6.75,6.95,-7.386765746638355e-06,5.28,0.61,0.72
2005-09-15,5.4,6.6,6.9,-6.510416666666666e-06,5.4,0.6,0.74
2005-09-16,5.42,6.73,6.88,-6.317064728279679e-06,5.42,0.62,0.76
2005-09-17,5.45,6.84,6.94,-6.416881998277347e-06,5.45,0.66,0.84
2005-09-18,5.42,6.81,6.96,-6.6632052613361e-06,5.42,0.6,0.75
2005-09-19,5.26,6.65,6.9,-7.277245296414627e-06,5.26,0.65,0.72
2005-09-20,5.24,6.64,6.94,-7.567663817663815e-06,5.24,0.66,0.8
2005-09-21,5.24,6.69,6.94,-7.567663817663815e-06,5.24,0.63,0.77
2005-09-22,5.24,6.82,6.97,-7.701210826210823e-06,5.24,0.6,0.74
2005-09-23,5.24,6.85,7.0,-7.834757834757831e-06,5.24,0.64,0.73
2005-09-24,5.43,6.78,6.93,-6.480041472265422e-06,5.43,0.63,0.81
2005-09-25,5.39,6.82,6.97,-6.868370718135977e-06,5.39,0.66,0.73
2005-09-26,5.26,6.68,6.98,-7.632232871849487e-06,5.26,0.63,0.73
2005-09-27,5.25,6.73,6.98,-7.688888888888893e-06,5.25,0.59,0.74
2005-09-28,5.23,6.66,6.96,-7.713572320313888e-06,5.23,0.6,0.74
2005-09-29,5.23,6.67,6.97,-7.7581594435527e-06,5.23,0.6,0.74
2005-09-30,5.42,6.88,7.0,-6.83627552786431e-06,5.42,0.58,0.73
2005-10-01,5.43,6.89,7.04,-6.9552445135648845e-06,5.43,0.66,0.73
2005-10-02,5.43,6.89,7.04,-6.9552445135648845e-06,5.43,0.68,0.86
2005-10-03,5.4,6.9,7.02,-7.031249999999996e-06,5.4,0.61,0.76
2005-10-04,5.39,6.91,7.03,-7.129194922622157e-06,5.39,0.64,0.78
2005-10-05,5.39,6.81,6.96,-6.824900017388281e-06,5.39,0.68,0.82
2005-10-06,5.23,6.68,6.98,-7.802746566791512e-06,5.23,0.61,0.76
2005-10-07,5.39,6.88,7.0,-6.998782820379067e-06,5.39,0.61,0.75
2005-10-08,5.36,6.87,6.99,-7.119147449336129e-06,5.36,0.65,0.83
2005-10-09,5.36,6.87,6.99,-7.119147449336129e-06,5.36,0.68,0.73
2005-10-10,5.36,6.87,6.99,-7.119147449336129e-06,5.36,0.62,0.76
2005-10-11,5.22,6.73,6.98,-7.85994998213648e-06,5.22,0.63,0.77
2005-10-12,5.36,6.87,6.99,-7.119147449336129e-06,5.36,0.65,0.79
2005-10-13,5.36,6.99,7.11,-7.643256464011176e-06,5.36,0.67,0.81
2005-10-14,5.23,7.0,7.15,-8.560727661851257e-06,5.23,0.66,0.8
2005-10-15,5.39,6.97,7.12,-7.520431229351421e-06,5.39,0.65,0.83
2005-10-16,5.39,6.97,7.12,-7.520431229351421e-06,5.39,0.68,0.73
2005-10-17,5.36,7.03,7.15,-7.817959468902865e-06,5.36,0.63,0.78
2005-10-18,5.19,6.98,7.13,-8.705797881888344e-06,5.19,0.65,0.79
2005-10-19,5.36,6.99,7.14,-7.774283717679945e-06,5.36,0.62,0.76
2005-10-20,5.41,6.81,7.11,-7.366961345120468e-06,5.41,0.61,0.75
2005-10-21,5.38,7.0,7.15,-7.706374085684432e-06,5.38,0.57,0.71
2005-10-22,5.38,7.0,7.15,-7.706374085684432e-06,5.38,0.66,0.76
2005-10-23,5.38,7.0,7.15,-7.706374085684432e-06,5.38,0.66,0.76
2005-10-24,5.38,7.0,7.15,-7.706374085684432e-06,5.38,0.66,0.76
2005-10-25,5.4,7.0,7.15,-7.595486111111111e-06,5.4,0.66,0.76
2005-10-26,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.66,0.76
2005-10-27,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.66,0.76
2005-10-28,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.59,0.73
2005-10-29,5.4,7.05,7.2,-7.812499999999993e-06,5.4,0.66,0.76
